time_s,wob_N
1626701212.039758,-0.004506
1626701212.181433,0.006660
1626701212.323144,-0.011301
1626701212.464907,0.003552
1626701212.606616,-0.008562
1626701212.748326,-0.008457
1626701212.890048,-0.001083
1626701213.031766,-0.008457
1626701213.173481,-0.004559
1626701213.304110,0.028466
1626701213.445838,-0.001451
1626701213.587550,-0.011986
1626701213.729342,-0.006771
1626701213.871080,0.011664
1626701214.012779,0.002341
1626701214.154490,-0.010195
1626701214.285519,0.053589
1626701214.427288,-0.014777
1626701214.569019,0.002499
1626701214.710775,-0.015778
1626701214.852509,-0.009721
1626701214.994247,-0.004770
1626701215.135965,-0.020307
1626701215.288765,0.006081
1626701215.419787,0.001446
